##Date,Version,LiveLoaderTime,BulkLoaderTime    
1619438186000,v20.11.0-geb7dc76b2,12m16.143555623s,01m51s
1619441913000,v20.11.0-geb7dc76b2,6m20.833900244s,01m37s
1619444253000,v20.11.0-geb7dc76b2,6m18.618868006s,01m36s
1619446006000,v20.11.0-geb7dc76b2,6m23.465123166s,01m40s
1619455357000,v20.11.0-g986b7f6c2,6m34.6551543s,01m38s
1619466141000,v20.11.0-g986b7f6c2,6m17.684109208s,01m39s
1619476956000,v20.11.0-g986b7f6c2,6m25.554294719s,01m38s
1619487734000,v20.11.0-g986b7f6c2,6m18.416831055s,01m37s
1619507606000,v20.11.0-g986b7f6c2,6m14.57463643s,01m38s
1619509349000,v20.11.0-g986b7f6c2,6m17.252022706s,01m38s
1619520151000,v20.11.0-gaff03e57e,6m21.294835629s,01m37s
1619526526000,v20.11.0-gaff03e57e,6m30.430420293s,01m42s
1619530937000,v20.11.0-gaff03e57e,6m18.582152865s,01m39s
1619541748000,v20.11.0-gaff03e57e,6m11.957596072s,01m40s
1619552552000,v20.11.0-gaff03e57e,6m17.544261414s,01m37s
1619563347000,v20.11.0-gaff03e57e,6m26.841441325s,01m38s
